run_id,name,state,created_at,heartbeat_at,url,group,job_type,sweep_id,tags
x2015c8d,hv_double_line_90kv__y_fault_location__cnn_regressor__W10ms,finished,2026-02-09T13:11:05Z,2026-02-09T13:20:47Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/x2015c8d,,,,[]
nixcb7vb,hv_double_line_90kv__y_fault_location__cnn_regressor__W20ms,finished,2026-02-09T13:16:19Z,2026-02-09T13:20:39Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/nixcb7vb,,,,[]
m3aohufn,hv_double_line_90kv__y_fault_location__rnn_regressor__W20ms,finished,2026-02-09T13:20:36Z,2026-02-09T13:33:51Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/m3aohufn,,,,[]
o8tga0ss,hv_double_line_90kv__y_fault_location__rnn_regressor__W20ms,finished,2026-02-09T13:20:46Z,2026-02-09T13:27:52Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/o8tga0ss,,,,[]
auc0ns26,hv_double_line_90kv__y_fault_location__rnn_regressor__W10ms,finished,2026-02-09T13:20:56Z,2026-02-09T13:27:24Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/auc0ns26,,,,[]
w887ymt2,hv_double_line_90kv__y_fault_location__cnn_regressor__W10ms,finished,2026-02-09T13:27:59Z,2026-02-09T13:29:09Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/w887ymt2,,,,[]
47ro3tih,hv_double_line_90kv__y_fault_location__rnn_regressor__W10ms,finished,2026-02-09T13:29:16Z,2026-02-09T13:30:37Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/47ro3tih,,,,[]
xfh9yqwv,hv_double_line_90kv__y_fault_location__cnn_regressor__W10ms,finished,2026-02-09T13:34:01Z,2026-02-09T13:36:40Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/xfh9yqwv,,,,[]
mylzspc0,hv_double_line_90kv__y_fault_location__rnn_regressor__W10ms,finished,2026-02-09T13:36:49Z,2026-02-09T13:39:26Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/mylzspc0,,,,[]
kx5fxhh9,hv_double_line_90kv__y_fault_line__cnn_lstm_classifier__W20ms,finished,2026-02-10T07:16:17Z,2026-02-10T07:19:49Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/kx5fxhh9,,,,[]
q096pc6a,hv_double_line_90kv__y_fault_present__cnn_lstm_classifier__W20ms,finished,2026-02-10T07:16:17Z,2026-02-10T08:15:23Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/q096pc6a,,,,[]
hz4n0yls,hv_double_line_90kv__y_fault_line__rnn_classifier__W20ms,finished,2026-02-10T07:20:56Z,2026-02-10T07:28:59Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/hz4n0yls,,,,[]
8mr97ou4,hv_double_line_90kv__y_fault_class__cnn_lstm_classifier__W20ms,crashed,2026-02-10T07:29:37Z,2026-02-10T08:29:08Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/8mr97ou4,,,,[]
whu09h7d,hv_double_line_90kv__y_fault_line__cnn_lstm_classifier__W10ms,finished,2026-02-10T07:30:07Z,2026-02-10T07:31:24Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/whu09h7d,,,,[]
f3lly8xm,hv_double_line_90kv__y_fault_line__rnn_classifier__W10ms,finished,2026-02-10T07:31:31Z,2026-02-10T07:33:39Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/f3lly8xm,,,,[]
5j1n5tgp,hv_double_line_90kv__y_fault_location__cnn_regressor__W20ms,finished,2026-02-10T07:58:36Z,2026-02-10T08:02:46Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/5j1n5tgp,,,,[]
csyxezor,hv_double_line_90kv__y_fault_location__rnn_regressor__W20ms,finished,2026-02-10T08:02:53Z,2026-02-10T08:10:02Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/csyxezor,,,,[]
yh2ivw41,hv_double_line_90kv__y_fault_location__cnn_regressor__W10ms,finished,2026-02-10T08:10:09Z,2026-02-10T08:11:19Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/yh2ivw41,,,,[]
39t7nbjx,hv_double_line_90kv__y_fault_location__rnn_regressor__W10ms,finished,2026-02-10T08:11:26Z,2026-02-10T08:12:45Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/39t7nbjx,,,,[]
1p99fj9y,hv_double_line_90kv__y_fault_location__cnn_regressor__W30ms,finished,2026-02-10T08:30:00Z,2026-02-10T09:11:29Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/1p99fj9y,,,,[]
h5e0fdvn,hv_double_line_90kv__y_fault_location__cnn_regressor__W20ms,finished,2026-02-10T08:30:00Z,2026-02-10T08:34:27Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/h5e0fdvn,,,,[]
viectqqn,hv_double_line_90kv__y_fault_location__cnn_regressor__W40ms,finished,2026-02-10T08:30:03Z,2026-02-10T09:40:43Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/viectqqn,,,,[]
5wnz39z9,hv_double_line_90kv__y_fault_location__cnn_regressor__W50ms,finished,2026-02-10T08:30:37Z,2026-02-10T10:16:23Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/5wnz39z9,,,,[]
c8ilma4p,hv_double_line_90kv__y_fault_location__lstm_regressor__W50ms,finished,2026-02-10T08:30:37Z,2026-02-10T10:10:02Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/c8ilma4p,,,,[]
srdxo5cr,hv_double_line_90kv__y_fault_location__cnn_lstm_regressor__W20ms,finished,2026-02-10T08:34:35Z,2026-02-10T08:57:05Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/srdxo5cr,,,,[]
t9qhw4vr,hv_double_line_90kv__y_fault_location__dilated_cnn_regressor__W20ms,finished,2026-02-10T08:57:13Z,2026-02-10T09:16:25Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/t9qhw4vr,,,,[]
hz4mw8bs,hv_double_line_90kv__y_fault_line__cnn_classifier__W20ms,finished,2026-02-10T09:06:55Z,2026-02-10T09:10:20Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/hz4mw8bs,,,,[]
rwlg9kp1,hv_double_line_90kv__y_fault_line__lstm_classifier__W20ms,finished,2026-02-10T09:07:20Z,2026-02-10T09:29:57Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/rwlg9kp1,,,,[]
nmmpheqn,hv_double_line_90kv__y_fault_line__cnn_lstm_classifier__W20ms,finished,2026-02-10T09:11:03Z,2026-02-10T09:16:37Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/nmmpheqn,,,,[]
oiek5rj8,hv_double_line_90kv__y_fault_location__cnn_lstm_regressor__W30ms,finished,2026-02-10T09:11:36Z,2026-02-10T09:38:38Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/oiek5rj8,,,,[]
dxlo0bkb,hv_double_line_90kv__y_fault_location__gru_regressor__W20ms,finished,2026-02-10T09:16:33Z,2026-02-10T09:20:36Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/dxlo0bkb,,,,[]
u91suzuu,hv_double_line_90kv__y_fault_line__dilated_cnn_classifier__W20ms,finished,2026-02-10T09:16:55Z,2026-02-10T09:20:15Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/u91suzuu,,,,[]
q4sprol6,hv_double_line_90kv__y_fault_line__gru_classifier__W20ms,finished,2026-02-10T09:20:37Z,2026-02-10T09:22:57Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/q4sprol6,,,,[]
j0rcpuwc,hv_double_line_90kv__y_fault_location__inceptiontime_regressor__W20ms,finished,2026-02-10T09:20:43Z,2026-02-10T09:41:53Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/j0rcpuwc,,,,[]
8yw35taf,hv_double_line_90kv__y_fault_line__inceptiontime_classifier__W20ms,finished,2026-02-10T09:23:06Z,2026-02-10T09:43:55Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/8yw35taf,,,,[]
5xrnlq41,hv_double_line_90kv__y_fault_line__rnn_classifier__W20ms,finished,2026-02-10T09:30:09Z,2026-02-10T09:38:41Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/5xrnlq41,,,,[]
2y047h6h,hv_double_line_90kv__y_fault_location__dilated_cnn_regressor__W30ms,finished,2026-02-10T09:38:45Z,2026-02-10T10:11:25Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/2y047h6h,,,,[]
y78jqwiv,hv_double_line_90kv__y_fault_line__tcn_classifier__W20ms,finished,2026-02-10T09:38:51Z,2026-02-10T10:08:27Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/y78jqwiv,,,,[]
47ifde11,hv_double_line_90kv__y_fault_location__cnn_lstm_regressor__W40ms,finished,2026-02-10T09:40:50Z,2026-02-10T11:05:36Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/47ifde11,,,,[]
