observability,line_conditioned,line,terminal_side,fold,n_relays,n_channels,n_episodes_test,n_windows_test,mae,rmse,experiment,model,selected_relays,uses_faulted_line_for_input_selection,deployment_interpretation
single_ended,True,Line_2_3_b,a,0,1,6,268,2412,0.1699105203151703,0.2141521854195826,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_02_03B,True,conditional_on_fault_line_identification
single_ended,True,Line_2_3_b,a,1,1,6,268,2412,0.1725240349769592,0.2208019895997151,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_02_03B,True,conditional_on_fault_line_identification
single_ended,True,Line_2_3_b,a,2,1,6,268,2412,0.260902464389801,0.2984382229941034,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_02_03B,True,conditional_on_fault_line_identification
single_ended,True,Line_2_3_b,a,3,1,6,267,2403,0.1599097847938537,0.2068722492219531,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_02_03B,True,conditional_on_fault_line_identification
single_ended,True,Line_2_3_b,a,4,1,6,267,2403,0.2488385736942291,0.2890138842966517,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_02_03B,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_a,b,0,1,6,639,5751,0.1879006177186966,0.2305392222231509,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_01_02A,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_a,b,1,1,6,638,5742,0.1945574134588241,0.2421704486258765,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_01_02A,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_a,b,2,1,6,638,5742,0.1900054365396499,0.2389160751882198,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_01_02A,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_a,b,3,1,6,638,5742,0.1806394904851913,0.2270647598393549,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_01_02A,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_a,b,4,1,6,638,5742,0.1831081509590149,0.2311601290179449,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_01_02A,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_b,b,0,1,6,266,2394,0.1708962470293045,0.2204205129858099,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_01_02B,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_b,b,1,1,6,266,2394,0.2460053265094757,0.2874206879309497,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_01_02B,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_b,b,2,1,6,266,2394,0.1553930640220642,0.2019937171944507,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_01_02B,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_b,b,3,1,6,265,2385,0.1723789721727371,0.2264831667154326,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_01_02B,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_b,b,4,1,6,265,2385,0.1515819281339645,0.1961722429637428,reduced_observability_fl_50ms,gru_regressor,Bus_2_Line_01_02B,True,conditional_on_fault_line_identification
single_ended,True,Line_2_3_a,b,0,1,6,633,5697,0.2033684998750686,0.2496521063988515,reduced_observability_fl_50ms,gru_regressor,Bus_3_Line_02_03A,True,conditional_on_fault_line_identification
single_ended,True,Line_2_3_a,b,1,1,6,633,5697,0.2147130221128463,0.2584998620150952,reduced_observability_fl_50ms,gru_regressor,Bus_3_Line_02_03A,True,conditional_on_fault_line_identification
single_ended,True,Line_2_3_a,b,2,1,6,633,5697,0.1935745477676391,0.2411578579466312,reduced_observability_fl_50ms,gru_regressor,Bus_3_Line_02_03A,True,conditional_on_fault_line_identification
single_ended,True,Line_2_3_a,b,3,1,6,633,5697,0.209892451763153,0.2532598336523908,reduced_observability_fl_50ms,gru_regressor,Bus_3_Line_02_03A,True,conditional_on_fault_line_identification
single_ended,True,Line_2_3_a,b,4,1,6,633,5697,0.1910329908132553,0.2380018472229172,reduced_observability_fl_50ms,gru_regressor,Bus_3_Line_02_03A,True,conditional_on_fault_line_identification
single_ended,True,Line_2_3_b,b,0,1,6,268,2412,0.1603111028671264,0.2071603516445814,reduced_observability_fl_50ms,gru_regressor,Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
single_ended,True,Line_2_3_b,b,1,1,6,268,2412,0.1858707964420318,0.2379247468677459,reduced_observability_fl_50ms,gru_regressor,Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
single_ended,True,Line_2_3_b,b,2,1,6,268,2412,0.2608703672885895,0.2983198393313092,reduced_observability_fl_50ms,gru_regressor,Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
single_ended,True,Line_2_3_b,b,3,1,6,267,2403,0.1845340877771377,0.226771373491136,reduced_observability_fl_50ms,gru_regressor,Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
single_ended,True,Line_2_3_b,b,4,1,6,267,2403,0.1747728586196899,0.2188055359642823,reduced_observability_fl_50ms,gru_regressor,Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
full_line_conditioned,True,Line_1_2_a,,0,8,48,639,5751,0.0610379166901111,0.0870205088070465,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_1_Line_01_02B;Bus_2_Line_01_02A;Bus_2_Line_01_02B;Bus_2_Line_02_03A;Bus_2_Line_02_03B;Bus_3_Line_02_03A;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
full_line_conditioned,True,Line_1_2_a,,1,8,48,638,5742,0.0712010711431503,0.1007832887354611,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_1_Line_01_02B;Bus_2_Line_01_02A;Bus_2_Line_01_02B;Bus_2_Line_02_03A;Bus_2_Line_02_03B;Bus_3_Line_02_03A;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
full_line_conditioned,True,Line_1_2_a,,2,8,48,638,5742,0.073746807873249,0.1045840474578646,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_1_Line_01_02B;Bus_2_Line_01_02A;Bus_2_Line_01_02B;Bus_2_Line_02_03A;Bus_2_Line_02_03B;Bus_3_Line_02_03A;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
full_line_conditioned,True,Line_1_2_a,,3,8,48,638,5742,0.0845564976334571,0.1129333068916847,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_1_Line_01_02B;Bus_2_Line_01_02A;Bus_2_Line_01_02B;Bus_2_Line_02_03A;Bus_2_Line_02_03B;Bus_3_Line_02_03A;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
full_line_conditioned,True,Line_1_2_a,,4,8,48,638,5742,0.0765126124024391,0.1038660783841187,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_1_Line_01_02B;Bus_2_Line_01_02A;Bus_2_Line_01_02B;Bus_2_Line_02_03A;Bus_2_Line_02_03B;Bus_3_Line_02_03A;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
full_line_conditioned,True,Line_1_2_b,,0,8,48,266,2394,0.1094968169927597,0.1491470569124886,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_1_Line_01_02B;Bus_2_Line_01_02A;Bus_2_Line_01_02B;Bus_2_Line_02_03A;Bus_2_Line_02_03B;Bus_3_Line_02_03A;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
full_line_conditioned,True,Line_1_2_b,,1,8,48,266,2394,0.113016739487648,0.1469804692013522,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_1_Line_01_02B;Bus_2_Line_01_02A;Bus_2_Line_01_02B;Bus_2_Line_02_03A;Bus_2_Line_02_03B;Bus_3_Line_02_03A;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
full_line_conditioned,True,Line_1_2_b,,2,8,48,266,2394,0.1050606667995452,0.1380516541155159,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_1_Line_01_02B;Bus_2_Line_01_02A;Bus_2_Line_01_02B;Bus_2_Line_02_03A;Bus_2_Line_02_03B;Bus_3_Line_02_03A;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
full_line_conditioned,True,Line_1_2_b,,3,8,48,265,2385,0.0944714322686195,0.1305856831713866,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_1_Line_01_02B;Bus_2_Line_01_02A;Bus_2_Line_01_02B;Bus_2_Line_02_03A;Bus_2_Line_02_03B;Bus_3_Line_02_03A;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
full_line_conditioned,True,Line_1_2_b,,4,8,48,265,2385,0.1080473363399505,0.1462592747795883,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_1_Line_01_02B;Bus_2_Line_01_02A;Bus_2_Line_01_02B;Bus_2_Line_02_03A;Bus_2_Line_02_03B;Bus_3_Line_02_03A;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
full_line_conditioned,True,Line_2_3_a,,0,8,48,633,5697,0.0791985616087913,0.1091351262907623,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_1_Line_01_02B;Bus_2_Line_01_02A;Bus_2_Line_01_02B;Bus_2_Line_02_03A;Bus_2_Line_02_03B;Bus_3_Line_02_03A;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
