fold2/class_0/f1-score,fold3/class_4/precision,fold4/class_5/precision,fold4/class_5/recall,fold4/class_4/f1-score,fold0/class_6/recall,fold0/class_9/precision,fold3/class_9/recall,fold0/class_4/f1-score,fold1/class_2/precision,fold2/confusion_matrix,fold2/class_0/precision,fold4/class_2/f1-score,fold4/class_3/precision,fold4/class_1/recall,fold1/class_9/precision,fold4/class_10/precision,fold3/class_4/f1-score,fold0/class_1/f1-score,fold1/class_4/recall,fold4/class_9/recall,fold2/class_3/precision,fold2/class_7/precision,fold1/confusion_matrix,fold2/class_8/precision,fold0/class_6/f1-score,fold0/class_1/recall,fold3/class_8/f1-score,fold0/class_3/precision,fold1/class_3/f1-score,fold1/class_9/recall,fold2/class_9/f1-score,fold3/class_3/recall,fold3/class_2/recall,fold1/class_7/recall,fold4/class_0/f1-score,fold4/class_3/f1-score,fold1/class_5/f1-score,fold0/class_1/precision,fold0/class_8/recall,fold2/class_4/precision,fold4/class_6/recall,fold1/class_1/f1-score,fold3/class_0/precision,fold0/class_6/precision,fold3/class_3/precision,fold4/class_0/precision,fold3/class_7/recall,fold0/class_2/precision,fold2/class_3/recall,fold4/confusion_matrix,fold0/class_4/recall,fold1/class_5/precision,fold3/class_2/precision,fold2/class_2/f1-score,fold1/class_8/precision,fold0/class_10/precision,fold0/class_7/f1-score,fold4/class_9/f1-score,fold1/class_4/precision,fold0/class_10/f1-score,fold4/class_4/recall,fold1/class_2/recall,fold2/class_0/recall,fold4/class_7/precision,fold3/class_1/precision,fold1/class_4/f1-score,fold0/class_3/f1-score,fold2/class_6/recall,fold4/class_4/precision,fold0/confusion_matrix,fold0/class_2/f1-score,fold1/class_6/recall,fold1/class_8/f1-score,fold4/class_1/precision,fold1/class_8/recall,fold0/class_2/recall,fold3/class_9/f1-score,fold2/class_10/recall,fold0/class_5/precision,fold3/class_10/recall,fold0/class_5/f1-score,fold2/class_1/recall,fold1/class_7/f1-score,fold0/class_4/precision,fold2/class_1/precision,fold3/class_1/recall,cv5/fold_metrics,fold2/class_4/recall,fold3/class_4/recall,fold2/class_2/recall,fold1/class_3/recall,fold2/class_6/f1-score,fold4/class_7/f1-score,fold2/class_4/f1-score,fold1/class_9/f1-score,_timestamp,fold2/class_7/f1-score,fold2/class_8/recall,fold3/class_0/f1-score,fold4/class_8/recall,fold3/class_6/precision,fold4/class_5/f1-score,fold1/class_3/precision,fold4/class_9/precision,fold4/class_8/f1-score,fold4/class_6/f1-score,fold1/class_1/recall,fold1/class_10/recall,fold2/class_1/f1-score,_runtime,fold1/class_6/precision,fold0/class_10/recall,fold3/class_1/f1-score,fold2/class_5/f1-score,fold1/class_10/precision,fold3/class_5/recall,fold1/class_6/f1-score,fold3/class_0/recall,fold4/class_3/recall,fold4/class_0/recall,fold2/class_10/f1-score,_step,fold4/class_2/precision,fold3/class_7/f1-score,fold3/class_5/f1-score,fold2/class_7/recall,fold0/class_9/f1-score,fold0/class_3/recall,fold3/class_10/precision,fold2/class_6/precision,fold4/class_6/precision,fold2/class_10/precision,fold4/class_1/f1-score,fold3/class_8/precision,fold3/class_10/f1-score,fold3/class_7/precision,fold0/class_0/f1-score,fold3/class_2/f1-score,fold0/class_8/precision,fold1/class_7/precision,fold1/class_0/f1-score,fold1/class_0/recall,fold3/class_9/precision,fold0/class_5/recall,fold2/class_9/precision,fold0/class_7/recall,fold3/class_6/recall,fold0/class_8/f1-score,fold2/class_2/precision,fold1/class_5/recall,fold0/class_0/recall,fold4/class_10/recall,fold2/class_5/precision,fold4/class_7/recall,fold3/class_8/recall,fold2/class_5/recall,fold4/class_8/precision,fold1/class_2/f1-score,fold4/class_10/f1-score,fold0/class_7/precision,fold3/class_6/f1-score,fold3/confusion_matrix,fold2/class_3/f1-score,fold2/class_8/f1-score,fold3/class_3/f1-score,fold1/class_0/precision,fold3/class_5/precision,fold1/class_1/precision,fold4/class_2/recall,fold0/class_9/recall,fold1/class_10/f1-score,fold2/class_9/recall,fold0/class_0/precision
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1770913673.1477563,,,,,,,,,,,,,,2746.73456103,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,1770913673.147883,,,,,,,,,,,,,,2746.734658122,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1770913673.1480103,,,,,,,,,,,,,,2746.734796267,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770913673.1481397,,,,,,,,,,,,0,,2746.734925143,,,,,0,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,"{'ncols': 12, 'size': 611, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'path': 'media/table/fold2/confusion_matrix_24_6b227c9756790dc8fab1.table.json', 'sha256': '6b227c9756790dc8fab11588034cde81f8712831eee896e7e146e9733d8b85ed', 'artifact_path': 'wandb-client-artifact://so9tof8m8tu7hynrty4rexk6kgrmpej4qfu0ln23sjqxbo3h75zazjmrgo8sp6ztk7n7qfupx2qtp48szucl3507tadmr4dsp9vqrgybehy8mnqby48qqy8j8q5dhqyv/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://ajgmem1lwsvrqk466j58nk9ujw2wd2nljemowi2enxrefkfmoumjl1z07tv34o90bzql7tvn5wj5vnubru7ilkdfwl9e156fkv69067h1ec4eh3fv3t2rnvbcz5ixmbo:latest/fold2/confusion_matrix.table.json', 'nrows': 11}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770914345.7250516,,,,,,,,,,,,,,3419.312156069,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8930533986381556,,,,,,,,,,,0.8668541280148423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9208856861295885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770914345.7268608,,,,,,,,,,,,,,3419.313741648,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7326254826254827,,,0.7133458646616542,,,,,,,,,,,1770914345.7270603,,,,,,,,,,,,,0.7228571428571429,3419.313879462,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7549244159413651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7311446317657497,,,,,,1770914345.7271984,,,,,,,,,,,,,,3419.314025993,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7803030303030303,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.7778958554729012,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6044591246903386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770914345.7273207,,,,,,,,,,,,,,3419.314142695,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6802973977695167,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5109717868338558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31467181467181465,,,,,,0.38948626045400236,,1770914345.727439,,,,,,,,,,,,,,3419.314251411,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
